Business status Alert Level 2: Fully operational,Metal product,2,total,C0303.01,831
Business status Alert Level 2: Fully operational,Transport and industrial machinery & equipment,2,total,C0303.01,720
Business status Alert Level 2: Fully operational,Other machinery & equipment,2,total,C0303.01,174
Business status Alert Level 2: Fully operational,Other manufacturing,2,total,C0303.01,285
Business status Alert Level 2: Fully operational,"Electricity, gas, water, & waste services",1,total,C0303.01,171
Business status Alert Level 2: Fully operational,Construction,1,total,C0303.01,4959
Business status Alert Level 2: Fully operational,Wholesale trade,1,total,C0303.01,2559
Business status Alert Level 2: Fully operational,Machinery & equipment wholesaling,2,total,C0303.01,804
Business status Alert Level 2: Fully operational,Other wholesale trade,2,total,C0303.01,1755
Business status Alert Level 2: Fully operational,Retail trade,1,total,C0303.01,4089
Business status Alert Level 2: Fully operational,Accommodation & food services,1,total,C0303.01,2295
Business status Alert Level 2: Fully operational,"Transport, postal, & warehousing",1,total,C0303.01,1245
Business status Alert Level 2: Fully operational,Information media & telecommunications,1,total,C0303.01,261
Business status Alert Level 2: Fully operational,Publishing,2,total,C0303.01,105
Business status Alert Level 2: Fully operational,Motion picture,2,total,C0303.01,48
Business status Alert Level 2: Fully operational,Telecommunications,2,total,C0303.01,108
Business status Alert Level 2: Fully operational,Financial & insurance services,1,total,C0303.01,558
Business status Alert Level 2: Fully operational,Finance,2,total,C0303.01,180
Business status Alert Level 2: Fully operational,Insurance,2,total,C0303.01,36
Business status Alert Level 2: Fully operational,Auxiliary,2,total,C0303.01,345
Business status Alert Level 2: Fully operational,"Rental, hiring, & real estate services",1,total,C0303.01,675
Business status Alert Level 2: Fully operational,"Professional, scientific, & technical services",1,total,C0303.01,4029
Business status Alert Level 2: Fully operational,Computer systems design,2,total,C0303.01,807
Business status Alert Level 2: Fully operational,Other professional scientific,2,total,C0303.01,3225
Business status Alert Level 2: Fully operational,Administrative & support services,1,total,C0303.01,1065
Business status Alert Level 2: Fully operational,Education & training,1,total,C0303.01,576
Business status Alert Level 2: Fully operational,Health care & social assistance,1,total,C0303.01,2022
Business status Alert Level 2: Fully operational,Arts & recreation services,1,total,C0303.01,129
Business status Alert Level 2: Fully operational,Other services,1,total,C0303.01,948
Business status Alert Level 2: Fully operational,total,0,total,C0303.01,33372
Business status Alert Level 2: Partly operational,total,0,6–19 employees,C0303.02,9096
Business status Alert Level 2: Partly operational,total,0,20–49 employees,C0303.02,2295
Business status Alert Level 2: Partly operational,total,0,50–99 employees,C0303.02,549
Business status Alert Level 2: Partly operational,total,0,100+ employees,C0303.02,390
Business status Alert Level 2: Partly operational,"Agriculture, forestry, & fishing",1,total,C0303.02,468
Business status Alert Level 2: Partly operational,Agriculture,2,total,C0303.02,225
Business status Alert Level 2: Partly operational,Commercial fishing,2,total,C0303.02,15
Business status Alert Level 2: Partly operational,Forestry & logging,2,total,C0303.02,27
Business status Alert Level 2: Partly operational,"Agriculture, forestry, & fishing support services",2,total,C0303.02,201
Business status Alert Level 2: Partly operational,Mining,1,total,C0303.02,18
Business status Alert Level 2: Partly operational,Manufacturing,1,total,C0303.02,1017
Business status Alert Level 2: Partly operational,"Food, beverage, & tobacco",2,total,C0303.02,282
Business status Alert Level 2: Partly operational,"Textile, clothing, footwear, & leather",2,total,C0303.02,60
Business status Alert Level 2: Partly operational,Wood & paper product,2,total,C0303.02,42
Business status Alert Level 2: Partly operational,"Printing, publishing, & recorded media",2,total,C0303.02,78
Business status Alert Level 2: Partly operational,"Petroleum, coal, chemical, & associated product",2,total,C0303.02,45
Business status Alert Level 2: Partly operational,Non-metallic mineral product,2,total,C0303.02,45
Business status Alert Level 2: Partly operational,Metal product,2,total,C0303.02,138
Business status Alert Level 2: Partly operational,Transport and industrial machinery & equipment,2,total,C0303.02,186
Business status Alert Level 2: Partly operational,Other machinery & equipment,2,total,C0303.02,57
Business status Alert Level 2: Partly operational,Other manufacturing,2,total,C0303.02,81
Business status Alert Level 2: Partly operational,"Electricity, gas, water, & waste services",1,total,C0303.02,24
Business status Alert Level 2: Partly operational,Construction,1,total,C0303.02,1248
Business status Alert Level 2: Partly operational,Wholesale trade,1,total,C0303.02,714
Business status Alert Level 2: Partly operational,Machinery & equipment wholesaling,2,total,C0303.02,189
Business status Alert Level 2: Partly operational,Other wholesale trade,2,total,C0303.02,522
Business status Alert Level 2: Partly operational,Retail trade,1,total,C0303.02,714
Business status Alert Level 2: Partly operational,Accommodation & food services,1,total,C0303.02,3912
Business status Alert Level 2: Partly operational,"Transport, postal, & warehousing",1,total,C0303.02,363
Business status Alert Level 2: Partly operational,Information media & telecommunications,1,total,C0303.02,111
Business status Alert Level 2: Partly operational,Publishing,2,total,C0303.02,30
Business status Alert Level 2: Partly operational,Motion picture,2,total,C0303.02,63
Business status Alert Level 2: Partly operational,Telecommunications,2,total,C0303.02,18
Business status Alert Level 2: Partly operational,Financial & insurance services,1,total,C0303.02,66
Business status Alert Level 2: Partly operational,Finance,2,total,C0303.02,30
Business status Alert Level 2: Partly operational,Insurance,2,total,C0303.02,0
Business status Alert Level 2: Partly operational,Auxiliary,2,total,C0303.02,36
Business status Alert Level 2: Partly operational,"Rental, hiring, & real estate services",1,total,C0303.02,297
Business status Alert Level 2: Partly operational,"Professional, scientific, & technical services",1,total,C0303.02,735
Business status Alert Level 2: Partly operational,Computer systems design,2,total,C0303.02,81
Business status Alert Level 2: Partly operational,Other professional scientific,2,total,C0303.02,657
Business status Alert Level 2: Partly operational,Administrative & support services,1,total,C0303.02,738
Business status Alert Level 2: Partly operational,Education & training,1,total,C0303.02,411
Business status Alert Level 2: Partly operational,Health care & social assistance,1,total,C0303.02,750
Business status Alert Level 2: Partly operational,Arts & recreation services,1,total,C0303.02,342
Business status Alert Level 2: Partly operational,Other services,1,total,C0303.02,396
Business status Alert Level 2: Partly operational,total,0,total,C0303.02,12330
Business status Alert Level 2: Not operating,total,0,6–19 employees,C0303.03,795
Business status Alert Level 2: Not operating,total,0,20–49 employees,C0303.03,111
Business status Alert Level 2: Not operating,total,0,50–99 employees,C0303.03,27
Business status Alert Level 2: Not operating,total,0,100+ employees,C0303.03,15
Business status Alert Level 2: Not operating,"Agriculture, forestry, & fishing",1,total,C0303.03,39
Business status Alert Level 2: Not operating,Agriculture,2,total,C0303.03,3
Business status Alert Level 2: Not operating,Commercial fishing,2,total,C0303.03,3
Business status Alert Level 2: Not operating,Forestry & logging,2,total,C0303.03,0
Business status Alert Level 2: Not operating,"Agriculture, forestry, & fishing support services",2,total,C0303.03,36
Business status Alert Level 2: Not operating,Mining,1,total,C0303.03,6
Business status Alert Level 2: Not operating,Manufacturing,1,total,C0303.03,60
Business status Alert Level 2: Not operating,"Food, beverage, & tobacco",2,total,C0303.03,24
Business status Alert Level 2: Not operating,"Textile, clothing, footwear, & leather",2,total,C0303.03,3
Business status Alert Level 2: Not operating,Wood & paper product,2,total,C0303.03,0
Business status Alert Level 2: Not operating,"Printing, publishing, & recorded media",2,total,C0303.03,3
Business status Alert Level 2: Not operating,"Petroleum, coal, chemical, & associated product",2,total,C0303.03,15
Business status Alert Level 2: Not operating,Non-metallic mineral product,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Metal product,2,total,C0303.03,6
Business status Alert Level 2: Not operating,Transport and industrial machinery & equipment,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Other machinery & equipment,2,total,C0303.03,6
Business status Alert Level 2: Not operating,Other manufacturing,2,total,C0303.03,3
Business status Alert Level 2: Not operating,"Electricity, gas, water, & waste services",1,total,C0303.03,0
Business status Alert Level 2: Not operating,Construction,1,total,C0303.03,75
Business status Alert Level 2: Not operating,Wholesale trade,1,total,C0303.03,3
Business status Alert Level 2: Not operating,Machinery & equipment wholesaling,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Other wholesale trade,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Retail trade,1,total,C0303.03,48
Business status Alert Level 2: Not operating,Accommodation & food services,1,total,C0303.03,375
Business status Alert Level 2: Not operating,"Transport, postal, & warehousing",1,total,C0303.03,63
Business status Alert Level 2: Not operating,Information media & telecommunications,1,total,C0303.03,21
Business status Alert Level 2: Not operating,Publishing,2,total,C0303.03,6
Business status Alert Level 2: Not operating,Motion picture,2,total,C0303.03,15
Business status Alert Level 2: Not operating,Telecommunications,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Financial & insurance services,1,total,C0303.03,6
Business status Alert Level 2: Not operating,Finance,2,total,C0303.03,6
Business status Alert Level 2: Not operating,Insurance,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Auxiliary,2,total,C0303.03,0
Business status Alert Level 2: Not operating,"Rental, hiring, & real estate services",1,total,C0303.03,21
Business status Alert Level 2: Not operating,"Professional, scientific, & technical services",1,total,C0303.03,6
Business status Alert Level 2: Not operating,Computer systems design,2,total,C0303.03,9
Business status Alert Level 2: Not operating,Other professional scientific,2,total,C0303.03,0
Business status Alert Level 2: Not operating,Administrative & support services,1,total,C0303.03,60
Business status Alert Level 2: Not operating,Education & training,1,total,C0303.03,66
Business status Alert Level 2: Not operating,Health care & social assistance,1,total,C0303.03,42
Business status Alert Level 2: Not operating,Arts & recreation services,1,total,C0303.03,42
Business status Alert Level 2: Not operating,Other services,1,total,C0303.03,12
Business status Alert Level 2: Not operating,total,0,total,C0303.03,948
Business status Alert Level 1: Fully operational,total,0,6–19 employees,C0304.01,31830
Business status Alert Level 1: Fully operational,total,0,20–49 employees,C0304.01,7881
Business status Alert Level 1: Fully operational,total,0,50–99 employees,C0304.01,2304
Business status Alert Level 1: Fully operational,total,0,100+ employees,C0304.01,1887
Business status Alert Level 1: Fully operational,"Agriculture, forestry, & fishing",1,total,C0304.01,3753
Business status Alert Level 1: Fully operational,Agriculture,2,total,C0304.01,2574
Business status Alert Level 1: Fully operational,Commercial fishing,2,total,C0304.01,48
Business status Alert Level 1: Fully operational,Forestry & logging,2,total,C0304.01,258
Business status Alert Level 1: Fully operational,"Agriculture, forestry, & fishing support services",2,total,C0304.01,876
Business status Alert Level 1: Fully operational,Mining,1,total,C0304.01,99
Business status Alert Level 1: Fully operational,Manufacturing,1,total,C0304.01,5139
Business status Alert Level 1: Fully operational,"Food, beverage, & tobacco",2,total,C0304.01,1152
Business status Alert Level 1: Fully operational,"Textile, clothing, footwear, & leather",2,total,C0304.01,243
Business status Alert Level 1: Fully operational,Wood & paper product,2,total,C0304.01,510
Business status Alert Level 1: Fully operational,"Printing, publishing, & recorded media",2,total,C0304.01,207
Business status Alert Level 1: Fully operational,"Petroleum, coal, chemical, & associated product",2,total,C0304.01,432
Business status Alert Level 1: Fully operational,Non-metallic mineral product,2,total,C0304.01,201
Business status Alert Level 1: Fully operational,Metal product,2,total,C0304.01,954
Business status Alert Level 1: Fully operational,Transport and industrial machinery & equipment,2,total,C0304.01,852
Business status Alert Level 1: Fully operational,Other machinery & equipment,2,total,C0304.01,228
Business status Alert Level 1: Fully operational,Other manufacturing,2,total,C0304.01,360
Business status Alert Level 1: Fully operational,"Electricity, gas, water, & waste services",1,total,C0304.01,192
Business status Alert Level 1: Fully operational,Construction,1,total,C0304.01,6009
Business status Alert Level 1: Fully operational,Wholesale trade,1,total,C0304.01,3147
Business status Alert Level 1: Fully operational,Machinery & equipment wholesaling,2,total,C0304.01,987
Business status Alert Level 1: Fully operational,Other wholesale trade,2,total,C0304.01,2157
