Business status Alert Level 1: Fully operational,Retail trade,1,total,C0304.01,4752
Business status Alert Level 1: Fully operational,Accommodation & food services,1,total,C0304.01,5925
Business status Alert Level 1: Fully operational,"Transport, postal, & warehousing",1,total,C0304.01,1446
Business status Alert Level 1: Fully operational,Information media & telecommunications,1,total,C0304.01,354
Business status Alert Level 1: Fully operational,Publishing,2,total,C0304.01,120
Business status Alert Level 1: Fully operational,Motion picture,2,total,C0304.01,108
Business status Alert Level 1: Fully operational,Telecommunications,2,total,C0304.01,123
Business status Alert Level 1: Fully operational,Financial & insurance services,1,total,C0304.01,606
Business status Alert Level 1: Fully operational,Finance,2,total,C0304.01,201
Business status Alert Level 1: Fully operational,Insurance,2,total,C0304.01,36
Business status Alert Level 1: Fully operational,Auxiliary,2,total,C0304.01,372
Business status Alert Level 1: Fully operational,"Rental, hiring, & real estate services",1,total,C0304.01,900
Business status Alert Level 1: Fully operational,"Professional, scientific, & technical services",1,total,C0304.01,4677
Business status Alert Level 1: Fully operational,Computer systems design,2,total,C0304.01,864
Business status Alert Level 1: Fully operational,Other professional scientific,2,total,C0304.01,3816
Business status Alert Level 1: Fully operational,Administrative & support services,1,total,C0304.01,1530
Business status Alert Level 1: Fully operational,Education & training,1,total,C0304.01,957
Business status Alert Level 1: Fully operational,Health care & social assistance,1,total,C0304.01,2715
Business status Alert Level 1: Fully operational,Arts & recreation services,1,total,C0304.01,456
Business status Alert Level 1: Fully operational,Other services,1,total,C0304.01,1245
Business status Alert Level 1: Fully operational,total,0,total,C0304.01,43902
Business status Alert Level 1: Partly operational,total,0,6–19 employees,C0304.02,1620
Business status Alert Level 1: Partly operational,total,0,20–49 employees,C0304.02,342
Business status Alert Level 1: Partly operational,total,0,50–99 employees,C0304.02,120
Business status Alert Level 1: Partly operational,total,0,100+ employees,C0304.02,102
Business status Alert Level 1: Partly operational,"Agriculture, forestry, & fishing",1,total,C0304.02,153
Business status Alert Level 1: Partly operational,Agriculture,2,total,C0304.02,57
Business status Alert Level 1: Partly operational,Commercial fishing,2,total,C0304.02,9
Business status Alert Level 1: Partly operational,Forestry & logging,2,total,C0304.02,6
Business status Alert Level 1: Partly operational,"Agriculture, forestry, & fishing support services",2,total,C0304.02,84
Business status Alert Level 1: Partly operational,Mining,1,total,C0304.02,6
